TD relay listening on ws://127.0.0.1:8081
Forwarding OSC to udp://127.0.0.1:9001
summary: frames=0 (no state yet)
summary: frames=0 (no state yet)
summary: frames=0 (no state yet)
summary: frames=0 (no state yet)
summary: frames=0 (no state yet)
summary: frames=0 (no state yet)
client connected
client disconnected
summary: frames=1 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
summary: frames=0 ball=(0.500, 0.400) paddles=(0.200, 0.800) score=(1, 2) demo=0 status=playing
client connected
summary: frames=4 ball=(0.500, 0.500) paddles=(0.410, 0.410) score=(0, 0) demo=0 status=gameover
summary: frames=61 ball=(0.500, 0.500) paddles=(0.410, 0.410) score=(0, 0) demo=0 status=gameover
summary: frames=61 ball=(0.500, 0.500) paddles=(0.410, 0.410) score=(0, 0) demo=0 status=gameover
summary: frames=61 ball=(0.500, 0.500) paddles=(0.410, 0.410) score=(0, 0) demo=1 status=demo
summary: frames=61 ball=(0.156, 0.526) paddles=(0.410, 0.410) score=(0, 0) demo=1 status=demo
summary: frames=61 ball=(0.900, 0.656) paddles=(0.410, 0.410) score=(0, 0) demo=1 status=demo
summary: frames=61 ball=(0.779, 0.541) paddles=(0.410, 0.410) score=(1, 0) demo=1 status=demo
summary: frames=61 ball=(0.539, 0.689) paddles=(0.410, 0.410) score=(1, 0) demo=1 status=demo
summary: frames=61 ball=(0.000, 0.281) paddles=(0.410, 0.410) score=(1, 0) demo=1 status=demo
summary: frames=61 ball=(0.133, 0.712) paddles=(0.410, 0.410) score=(1, 1) demo=1 status=demo
summary: frames=60 ball=(0.272, 0.565) paddles=(0.410, 0.410) score=(1, 2) demo=1 status=demo
